BRANCH1,SUBJECT,YEAR,UNIT,QUESTION,OPTION A,OPTION B,OPTION C,OPTION D,ANSWER,BRANCH
IT,PROGRAMMING FOR PROBLEM SOLVING,1,2,The switch statement in C is equivalent to:,Nested if-else,Looping structures,Recursion,Goto statement,Nested if-else,IT-1
IT,PROGRAMMING FOR PROBLEM SOLVING,1,2,The ternary operator (? :) is used for:,Iteration,Conditional branching,Function calling,Logical operations,Conditional branching,IT-1
IT,PROGRAMMING FOR PROBLEM SOLVING,1,3,Which loop is guaranteed to execute at least once?,for,while,do-while,All of the above,do-while,IT-1
IT,PROGRAMMING FOR PROBLEM SOLVING,1,3,Which keyword is used to terminate a loop prematurely in C?,continue,break,goto,exit,break,IT-1
IT,PROGRAMMING FOR PROBLEM SOLVING,1,3,In a multi-dimensional array elements are stored in:,Row-major order,Column-major order,Random order,Depends on the compiler,Row-major order,IT-1
IT,PROGRAMMING FOR PROBLEM SOLVING,1,4,In C passing parameters to functions by value means:,The function modifies the original variable,A copy of the variable is passed,The function takes pointers as arguments,The variable is passed by reference,A copy of the variable is passed,IT-1
IT,PROGRAMMING FOR PROBLEM SOLVING,1,4,The best-case time complexity of a binary search algorithm is:,O(n),O(1),O(log n),O(n^2),O(1),IT-1
IT,PROGRAMMING FOR PROBLEM SOLVING,1,4,Which sorting algorithm divides the array into two halves repeatedly?,Bubble Sort,Quick Sort,Merge Sort,Selection Sort,Merge Sort,IT-1
IT,PROGRAMMING FOR PROBLEM SOLVING,1,5,What is the correct syntax to declare a pointer to an integer in C?,int ptr*;,int *ptr;,int ptr;,int &ptr;,int *ptr;,IT-1
IT,PROGRAMMING FOR PROBLEM SOLVING,1,5,What is the function used to close a file in C?,fclose(),close(),endfile(),terminate(),fclose(),IT-1
IT,PROGRAMMING FOR PROBLEM SOLVING,1,5,What does the command-line argument argc represent in C?,Total number of command-line arguments,The program name,The last argument in the command line,None of the above,Total number of command-line arguments,IT-1
CS,ENVIRONMENT AND ECOLOGY,1,1,Which of the following is NOT a component of the environment?,Atmosphere,Geosphere,Hydrosphere,Biosphere,Geosphere,CSE-1
CS,ENVIRONMENT AND ECOLOGY,1,1,The need for public awareness regarding the environment arises due to:,Sustainable development,Population growth,Resource depletion,All of the above,All of the above,CSE-1
CS,ENVIRONMENT AND ECOLOGY,1,1,Environmental Impact Assessment is carried out to:,Improve public awareness,Analyze the environmental impact of projects,Promote urbanization,Increase mining activities,Analyze the environmental impact of projects,CSE-1
CS,ENVIRONMENT AND ECOLOGY,1,2,Which of the following is a renewable resource?,Coal,Solar energy,Petroleum,Natural gas,Solar energy,CSE-1
CS,ENVIRONMENT AND ECOLOGY,1,2,The natural cycle responsible for nitrogen fixation is:,Carbon cycle,Nitrogen cycle,Sulfur cycle,Phosphorus cycle,Nitrogen cycle,CSE-1
CS,ENVIRONMENT AND ECOLOGY,1,2,Which of the following is a non-conventional energy source?,Coal,Hydroelectric energy,Wind energy,Natural gas,Wind energy,CSE-1
CS,ENVIRONMENT AND ECOLOGY,1,3,Which type of pollution is caused by excessive noise levels?,Water pollution,Noise pollution,Air pollution,Soil pollution,Noise pollution,CSE-1
CS,ENVIRONMENT AND ECOLOGY,1,3,Solid waste management involves:,Burning waste in open areas,"Proper collection, disposal, and recycling of waste",Dumping waste in water bodies,Ignoring waste production,"Proper collection, disposal, and recycling of waste",CSE-1
CS,ENVIRONMENT AND ECOLOGY,1,3,Water pollution primarily affects:,Public health,Soil fertility,Air quality,Noise levels,Public health,CSE-1
CS,ENVIRONMENT AND ECOLOGY,1,4,The major cause of global warming is:,Deforestation,Burning of fossil fuels,Industrial emissions,All of the above,All of the above,CSE-1
CS,ENVIRONMENT AND ECOLOGY,1,4,Ozone layer depletion is caused by:,Carbon monoxide,Chlorofluorocarbons (CFCs),Sulfur dioxide,Methane,Chlorofluorocarbons (CFCs),CSE-1
CS,ENVIRONMENT AND ECOLOGY,1,4,Which human activity significantly contributes to climate change?,Recycling waste,Burning paddy straw,Using solar panels,Planting trees,Burning paddy straw,CSE-1
CS,ENVIRONMENT AND ECOLOGY,1,5,The Environmental Protection Act was enacted in:,1976,1986,1991,2000,1986,CSE-1
CS,ENVIRONMENT AND ECOLOGY,1,5,Which factor is NOT associated with population growth's impact on the environment?,Increased resource consumption,Enhanced biodiversity,More waste generation,Deforestation,Enhanced biodiversity,CSE-1
CS,ENVIRONMENT AND ECOLOGY,1,5,Which of the following is NOT a component of the environment?,Atmosphere,Maintaining ecological balance,Urban growth,Industrialization,Maintaining ecological balance,CSE-1
IT,ENVIRONMENT AND ECOLOGY,1,1,Which of the following is NOT a component of the environment?,Atmosphere,Geosphere,Hydrosphere,Biosphere,Geosphere,IT-1
IT,ENVIRONMENT AND ECOLOGY,1,1,The need for public awareness regarding the environment arises due to:,Sustainable development,Population growth,Resource depletion,All of the above,All of the above,IT-1
IT,ENVIRONMENT AND ECOLOGY,1,1,Environmental Impact Assessment is carried out to:,Improve public awareness,Analyze the environmental impact of projects,Promote urbanization,Increase mining activities,Analyze the environmental impact of projects,IT-1
IT,ENVIRONMENT AND ECOLOGY,1,2,Which of the following is a renewable resource?,Coal,Solar energy,Petroleum,Natural gas,Solar energy,IT-1
IT,ENVIRONMENT AND ECOLOGY,1,2,The natural cycle responsible for nitrogen fixation is:,Carbon cycle,Nitrogen cycle,Sulfur cycle,Phosphorus cycle,Nitrogen cycle,IT-1
IT,ENVIRONMENT AND ECOLOGY,1,2,Which of the following is a non-conventional energy source?,Coal,Hydroelectric energy,Wind energy,Natural gas,Wind energy,IT-1
IT,ENVIRONMENT AND ECOLOGY,1,3,Which type of pollution is caused by excessive noise levels?,Water pollution,Noise pollution,Air pollution,Soil pollution,Noise pollution,IT-1
IT,ENVIRONMENT AND ECOLOGY,1,3,Solid waste management involves:,Burning waste in open areas,"Proper collection, disposal, and recycling of waste",Dumping waste in water bodies,Ignoring waste production,"Proper collection, disposal, and recycling of waste",IT-1
IT,ENVIRONMENT AND ECOLOGY,1,3,Water pollution primarily affects:,Public health,Soil fertility,Air quality,Noise levels,Public health,IT-1
IT,ENVIRONMENT AND ECOLOGY,1,4,The major cause of global warming is:,Deforestation,Burning of fossil fuels,Industrial emissions,All of the above,All of the above,IT-1
IT,ENVIRONMENT AND ECOLOGY,1,4,Ozone layer depletion is caused by:,Carbon monoxide,Chlorofluorocarbons (CFCs),Sulfur dioxide,Methane,Chlorofluorocarbons (CFCs),IT-1
IT,ENVIRONMENT AND ECOLOGY,1,4,Which human activity significantly contributes to climate change?,Recycling waste,Burning paddy straw,Using solar panels,Planting trees,Burning paddy straw,IT-1
IT,ENVIRONMENT AND ECOLOGY,1,5,The Environmental Protection Act was enacted in:,1976,1986,1991,2000,1986,IT-1
IT,ENVIRONMENT AND ECOLOGY,1,5,Which factor is NOT associated with population growth's impact on the environment?,Increased resource consumption,Enhanced biodiversity,More waste generation,Deforestation,Enhanced biodiversity,IT-1
IT,ENVIRONMENT AND ECOLOGY,1,5,Which of the following is NOT a component of the environment?,Atmosphere,Maintaining ecological balance,Urban growth,Industrialization,Maintaining ecological balance,IT-1
CSE,DIGITAL ELECTRONICS,2,1,What is the primary use of Karnaugh Maps (K-maps) in digital electronics?,To design sequential circuits,To simplify Boolean expressions,To measure circuit performance,To convert analog signals to digital,To simplify Boolean expressions,CSE-2
CSE,DIGITAL ELECTRONICS,2,1,What is the difference between SOP and POS forms in Boolean algebra?,"SOP represents max terms, POS represents min terms","SOP is a product of sums, POS is a sum of products","SOP is a sum of products, POS is a product of sums","SOP is used for sequential circuits, POS for combinational circuits","SOP is a sum of products, POS is a product of sums",CSE-2
CSE,DIGITAL ELECTRONICS,2,1,What is the result of applying De Morgan’s Theorem to A+B?,A+B,A'⋅B',A'⋅B,A⋅B',A'⋅B',CSE-2
CSE,DIGITAL ELECTRONICS,2,2,What is the function of a multiplexer in a digital circuit?,To combine multiple signals into one,To decode binary inputs,To store data temporarily,To add binary numbers,To combine multiple signals into one,CSE-2
CSE,DIGITAL ELECTRONICS,2,2,Which MSI device is used for comparing the magnitudes of two binary numbers?,Multiplexer,Magnitude Comparator,Decoder,Encoder,Magnitude Comparator,CSE-2
CSE,DIGITAL ELECTRONICS,2,2,What is the primary difference between a half adder and a full adder?,"A half adder can handle carry inputs, but a full adder cannot","A full adder can handle carry inputs, but a half adder cannot",A half adder is faster than a full adder,A full adder uses fewer gates than a half adder,"A full adder can handle carry inputs, but a half adder cannot",CSE-2
CSE,DIGITAL ELECTRONICS,2,3,Which storage element is the building block of sequential circuits?,Flip-flops,Encoders,Decoders,Multiplexers,Flip-flops,CSE-2
CSE,DIGITAL ELECTRONICS,2,3,What is the primary purpose of a Johnson counter?,To count up or down in binary,To generate a specific sequence of states,To act as a shift register,To compare binary numbers,To generate a specific sequence of states,CSE-2
CSE,DIGITAL ELECTRONICS,2,3,How does a ripple counter differ from a synchronous counter?,A ripple counter updates all flip-flops simultaneously,A ripple counter updates flip-flops one at a time sequentially,A ripple counter requires fewer flip-flops,A ripple counter is faster,A ripple counter updates flip-flops one at a time sequentially,CSE-2
CSE,DIGITAL ELECTRONICS,2,4,What is the purpose of a state reduction technique in sequential circuits?,To add more states for flexibility,To simplify the state table by removing redundant states,To improve clock speed,To increase the complexity of the circuit,To simplify the state table by removing redundant states,CSE-2
CSE,DIGITAL ELECTRONICS,2,4,What is a hazard in asynchronous circuits?,A condition where the output is stable,A temporary fluctuation of output caused by unequal delays,An error in the state transition table,A permanent failure in the circuit,A temporary fluctuation of output caused by unequal delays,CSE-2
CSE,DIGITAL ELECTRONICS,2,4,Which method ensures a race-free state assignment in asynchronous circuits?,Karnaugh map,Binary encoding,State reduction,One-hot encoding,One-hot encoding,CSE-2
CSE,DIGITAL ELECTRONICS,2,5,What is the main advantage of CMOS logic over TTL?,Higher power consumption,Lower power consumption,Higher switching speed,Simpler design,Lower power consumption,CSE-2
CSE,DIGITAL ELECTRONICS,2,5,Which programmable logic device can implement any logic function?,RAM,PLA,ROM,PAL,PLA,CSE-2
CSE,DIGITAL ELECTRONICS,2,5,What is the function of a ROM in digital systems?,To perform logical operations,To store data permanently,To perform arithmetic operations,To store data temporarily,To store data permanently,CSE-2
IT,DIGITAL ELECTRONICS,2,1,What is the primary use of Karnaugh Maps (K-maps) in digital electronics?,To design sequential circuits,To simplify Boolean expressions,To measure circuit performance,To convert analog signals to digital,To simplify Boolean expressions,IT-2
IT,DIGITAL ELECTRONICS,2,1,What is the difference between SOP and POS forms in Boolean algebra?,"SOP represents max terms, POS represents min terms","SOP is a product of sums, POS is a sum of products","SOP is a sum of products, POS is a product of sums","SOP is used for sequential circuits, POS for combinational circuits","SOP is a sum of products, POS is a product of sums",IT-2
IT,DIGITAL ELECTRONICS,2,1,What is the result of applying De Morgan’s Theorem to A+B?,A+B,A'⋅B',A'⋅B,A⋅B',A'⋅B',IT-2
IT,DIGITAL ELECTRONICS,2,2,What is the function of a multiplexer in a digital circuit?,To combine multiple signals into one,To decode binary inputs,To store data temporarily,To add binary numbers,To combine multiple signals into one,IT-2
IT,DIGITAL ELECTRONICS,2,2,Which MSI device is used for comparing the magnitudes of two binary numbers?,Multiplexer,Magnitude Comparator,Decoder,Encoder,Magnitude Comparator,IT-2
IT,DIGITAL ELECTRONICS,2,2,What is the primary difference between a half adder and a full adder?,"A half adder can handle carry inputs, but a full adder cannot","A full adder can handle carry inputs, but a half adder cannot",A half adder is faster than a full adder,A full adder uses fewer gates than a half adder,"A full adder can handle carry inputs, but a half adder cannot",IT-2
IT,DIGITAL ELECTRONICS,2,3,Which storage element is the building block of sequential circuits?,Flip-flops,Encoders,Decoders,Multiplexers,Flip-flops,IT-2
IT,DIGITAL ELECTRONICS,2,3,What is the primary purpose of a Johnson counter?,To count up or down in binary,To generate a specific sequence of states,To act as a shift register,To compare binary numbers,To generate a specific sequence of states,IT-2
IT,DIGITAL ELECTRONICS,2,3,How does a ripple counter differ from a synchronous counter?,A ripple counter updates all flip-flops simultaneously,A ripple counter updates flip-flops one at a time sequentially,A ripple counter requires fewer flip-flops,A ripple counter is faster,A ripple counter updates flip-flops one at a time sequentially,IT-2
IT,DIGITAL ELECTRONICS,2,4,What is the purpose of a state reduction technique in sequential circuits?,To add more states for flexibility,To simplify the state table by removing redundant states,To improve clock speed,To increase the complexity of the circuit,To simplify the state table by removing redundant states,IT-2
IT,DIGITAL ELECTRONICS,2,4,What is a hazard in asynchronous circuits?,A condition where the output is stable,A temporary fluctuation of output caused by unequal delays,An error in the state transition table,A permanent failure in the circuit,A temporary fluctuation of output caused by unequal delays,IT-2
IT,DIGITAL ELECTRONICS,2,4,Which method ensures a race-free state assignment in asynchronous circuits?,Karnaugh map,Binary encoding,State reduction,One-hot encoding,One-hot encoding,IT-2
IT,DIGITAL ELECTRONICS,2,5,What is the main advantage of CMOS logic over TTL?,Higher power consumption,Lower power consumption,Higher switching speed,Simpler design,Lower power consumption,IT-2
IT,DIGITAL ELECTRONICS,2,5,Which programmable logic device can implement any logic function?,RAM,PLA,ROM,PAL,PLA,IT-2
IT,DIGITAL ELECTRONICS,2,5,What is the function of a ROM in digital systems?,To perform logical operations,To store data permanently,To perform arithmetic operations,To store data temporarily,To store data permanently,IT-2
CSE,DATA STRUCTURE,2,1,Which notation best describes the worst-case time complexity of linear search?,O(1),O(logn),O(n),O(n2),O(n),CSE-2
CSE,DATA STRUCTURE,2,1,"What does the term ""Abstract Data Type (ADT)"" refer to?",A concrete implementation of a DATA STRUCTURE,A mathematical model with a set of operations defined on it,A programming interface for arrays,None of the above,A mathematical model with a set of operations defined on it,CSE-2
CSE,DATA STRUCTURE,2,1,Sparse matrices are most effectively used in which scenario?,When there are many non-zero elements,When the matrix is symmetric,When most elements are zero,When all elements are identical,When most elements are zero,CSE-2
CSE,DATA STRUCTURE,2,2,Which of the following is not a valid operation on a stack?,Push,Pop,Peek,Insert,Insert,CSE-2
CSE,DATA STRUCTURE,2,2,What is the main difference between a queue and a stack?,"Queue follows FIFO, while Stack follows LIFO","Queue allows insertion at both ends, while Stack does not",Stack requires more memory than Queue,Queue is faster than Stack,"Queue follows FIFO, while Stack follows LIFO",CSE-2
CSE,DATA STRUCTURE,2,2,Which of the following DATA STRUCTUREs allows circular implementation?,Stack,Circular Queue,Binary Tree,Graph,Circular Queue,CSE-2
CSE,DATA STRUCTURE,2,3,Which sorting algorithm is based on the divide-and-conquer strategy?,Bubble Sort,Quick Sort,Selection Sort,Insertion Sort,Quick Sort,CSE-2
CSE,DATA STRUCTURE,2,3,In hashing what is the purpose of a collision resolution strategy?,To minimize memory usage,To manage cases where multiple keys map to the same index,To ensure hash values are unique,To improve time complexity,To manage cases where multiple keys map to the same index,CSE-2
CSE,DATA STRUCTURE,2,3,What is the time complexity of Binary Search in its worst case?,O(1),O(logn),O(n),O(n2),O(logn),CSE-2
CSE,DATA STRUCTURE,2,4,Which traversal technique visits nodes in the order: left subtree root right subtree?,Preorder,Postorder,Inorder,Level Order,Inorder,CSE-2
CSE,DATA STRUCTURE,2,4,Which tree structure ensures all nodes follow the Binary Search Tree (BST) property?,Complete Binary Tree,AVL Tree,Full Binary Tree,Red-Black Tree,AVL Tree,CSE-2
CSE,DATA STRUCTURE,2,4,What is the height of a binary tree with nnn nodes in the worst case?,O(logn),O(n),O(1),O(n2),O(n),CSE-2
CSE,DATA STRUCTURE,2,5,Which representation of a graph is most suitable for dense graphs?,Adjacency Matrix,Adjacency List,Edge List,Incidence Matrix,Adjacency Matrix,CSE-2
CSE,DATA STRUCTURE,2,5,What is the main difference between DFS and BFS traversal in a graph?,"DFS uses a stack, while BFS uses a queue","BFS uses a stack, while DFS uses a queue","DFS explores neighbors level by level, while BFS goes deeper first",BFS is used only for directed graphs,"DFS uses a stack, while BFS uses a queue",CSE-2
CSE,DATA STRUCTURE,2,5,Which algorithm is used to find the Minimum Spanning Tree of a graph?,Dijkstra’s Algorithm,Floyd-Warshall Algorithm,Kruskal’s Algorithm,Bellman-Ford Algorithm,Kruskal’s Algorithm,CSE-2
IT,DATA STRUCTURE,2,1,Which notation best describes the worst-case time complexity of linear search?,O(1),O(logn),O(n),O(n2),O(n),IT-2
IT,DATA STRUCTURE,2,1,"What does the term ""Abstract Data Type (ADT)"" refer to?",A concrete implementation of a DATA STRUCTURE,A mathematical model with a set of operations defined on it,A programming interface for arrays,None of the above,A mathematical model with a set of operations defined on it,IT-2
IT,DATA STRUCTURE,2,1,Sparse matrices are most effectively used in which scenario?,When there are many non-zero elements,When the matrix is symmetric,When most elements are zero,When all elements are identical,When most elements are zero,IT-2
IT,DATA STRUCTURE,2,2,Which of the following is not a valid operation on a stack?,Push,Pop,Peek,Insert,Insert,IT-2
IT,DATA STRUCTURE,2,2,What is the main difference between a queue and a stack?,"Queue follows FIFO, while Stack follows LIFO","Queue allows insertion at both ends, while Stack does not",Stack requires more memory than Queue,Queue is faster than Stack,"Queue follows FIFO, while Stack follows LIFO",IT-2
IT,DATA STRUCTURE,2,2,Which of the following DATA STRUCTUREs allows circular implementation?,Stack,Circular Queue,Binary Tree,Graph,Circular Queue,IT-2
IT,DATA STRUCTURE,2,3,Which sorting algorithm is based on the divide-and-conquer strategy?,Bubble Sort,Quick Sort,Selection Sort,Insertion Sort,Quick Sort,IT-2
IT,DATA STRUCTURE,2,3,In hashing what is the purpose of a collision resolution strategy?,To minimize memory usage,To manage cases where multiple keys map to the same index,To ensure hash values are unique,To improve time complexity,To manage cases where multiple keys map to the same index,IT-2
IT,DATA STRUCTURE,2,3,What is the time complexity of Binary Search in its worst case?,O(1),O(logn),O(n),O(n2),O(logn),IT-2
IT,DATA STRUCTURE,2,4,Which traversal technique visits nodes in the order: left subtree root right subtree?,Preorder,Postorder,Inorder,Level Order,Inorder,IT-2
IT,DATA STRUCTURE,2,4,Which tree structure ensures all nodes follow the Binary Search Tree (BST) property?,Complete Binary Tree,AVL Tree,Full Binary Tree,Red-Black Tree,AVL Tree,IT-2
IT,DATA STRUCTURE,2,4,What is the height of a binary tree with nnn nodes in the worst case?,O(logn),O(n),O(1),O(n2),O(n),IT-2
IT,DATA STRUCTURE,2,5,Which representation of a graph is most suitable for dense graphs?,Adjacency Matrix,Adjacency List,Edge List,Incidence Matrix,Adjacency Matrix,IT-2
IT,DATA STRUCTURE,2,5,What is the main difference between DFS and BFS traversal in a graph?,"DFS uses a stack, while BFS uses a queue","BFS uses a stack, while DFS uses a queue","DFS explores neighbors level by level, while BFS goes deeper first",BFS is used only for directed graphs,"DFS uses a stack, while BFS uses a queue",IT-2
IT,DATA STRUCTURE,2,5,Which algorithm is used to find the Minimum Spanning Tree of a graph?,Dijkstra’s Algorithm,Floyd-Warshall Algorithm,Kruskal’s Algorithm,Bellman-Ford Algorithm,Kruskal’s Algorithm,IT-2
CSE,COMPUTER ORGANIZATION AND ARCHITECTURE,2,1,What is the role of the bus in a computer system?,To store data temporarily,To connect and transfer data between components,To execute instructions,To handle I/O operations,To connect and transfer data between components,CSE-2
CSE,COMPUTER ORGANIZATION AND ARCHITECTURE,2,1,Which addressing mode specifies the operand directly in the instruction?,Direct Addressing,Immediate Addressing,Register Indirect Addressing,Indexed Addressing,Immediate Addressing,CSE-2
CSE,COMPUTER ORGANIZATION AND ARCHITECTURE,2,1,What is the main purpose of the program counter in a CPU?,To hold the instruction currently being executed,To point to the next instruction to be executed,To store intermediate data,To keep track of the stack pointer,To point to the next instruction to be executed,CSE-2
CSE,COMPUTER ORGANIZATION AND ARCHITECTURE,2,2,What is Booth’s algorithm used for?,Binary division,Binary multiplication,Logical operations,Floating-point conversion,Binary multiplication,CSE-2
CSE,COMPUTER ORGANIZATION AND ARCHITECTURE,2,2,In floating-point representation what does the term 'mantissa' refer to?,The base of the number,The exponent,The significant digits of the number,The sign bit,The significant digits of the number,CSE-2
CSE,COMPUTER ORGANIZATION AND ARCHITECTURE,2,2,Which of the following adders is most efficient for large binary numbers?,Ripple Carry Adder,Half Adder,Carry-Lookahead Adder,Full Adder,Carry-Lookahead Adder,CSE-2
CSE,COMPUTER ORGANIZATION AND ARCHITECTURE,2,3,In pipelining which hazard occurs when two instructions try to use the same resource?,Data hazard,Structural hazard,Control hazard,Procedural hazard,Structural hazard,CSE-2
CSE,COMPUTER ORGANIZATION AND ARCHITECTURE,2,3,What is the main advantage of a microprogrammed control unit?,Faster execution of instructions,Easier modification of control logic,Reduced cost of implementation,Simplified CPU design,Easier modification of control logic,CSE-2
CSE,COMPUTER ORGANIZATION AND ARCHITECTURE,2,3,Which instruction format contains only the opcode and the operand?,Zero Address,One Address,Two Address,Three Address,One Address,CSE-2
CSE,COMPUTER ORGANIZATION AND ARCHITECTURE,2,4,What is the function of cache memory?,To permanently store programs,To provide high-speed storage for frequently accessed data,To serve as the primary memory,To backup data,To provide high-speed storage for frequently accessed data,CSE-2
CSE,COMPUTER ORGANIZATION AND ARCHITECTURE,2,4,In which cache mapping technique does each block map to a single cache line?,Direct Mapping,Associative Mapping,Set-Associative Mapping,Random Mapping,Direct Mapping,CSE-2
CSE,COMPUTER ORGANIZATION AND ARCHITECTURE,2,4,What happens during a 'page fault'?,A page is retrieved from cache,A requested page is not in main memory,A page is deleted from memory,A page exceeds its memory limit,A requested page is not in main memory,CSE-2
CSE,COMPUTER ORGANIZATION AND ARCHITECTURE,2,5,Which mode of data transfer allows the CPU to perform other tasks while data transfer is handled?,Programmed I/O,Interrupt-Driven I/O,Direct Memory Access,Memory-Mapped I/O,Interrupt-Driven I/O,CSE-2
CSE,COMPUTER ORGANIZATION AND ARCHITECTURE,2,5,What is the primary purpose of Direct Memory Access (DMA)?,To increase CPU workload,To allow devices to access memory directly,To enhance cache performance,To manage I/O interrupts,To allow devices to access memory directly,CSE-2
CSE,COMPUTER ORGANIZATION AND ARCHITECTURE,2,5,What type of I/O technique uses polling?,Programmed I/O,Interrupt-Driven I/O,DMA,Memory-Mapped I/O,Programmed I/O,CSE-2
IT,COMPUTER ORGANIZATION AND ARCHITECTURE,2,1,What is the role of the bus in a computer system?,To store data temporarily,To connect and transfer data between components,To execute instructions,To handle I/O operations,To connect and transfer data between components,IT-2
IT,COMPUTER ORGANIZATION AND ARCHITECTURE,2,1,Which addressing mode specifies the operand directly in the instruction?,Direct Addressing,Immediate Addressing,Register Indirect Addressing,Indexed Addressing,Immediate Addressing,IT-2
IT,COMPUTER ORGANIZATION AND ARCHITECTURE,2,1,What is the main purpose of the program counter in a CPU?,To hold the instruction currently being executed,To point to the next instruction to be executed,To store intermediate data,To keep track of the stack pointer,To point to the next instruction to be executed,IT-2
IT,COMPUTER ORGANIZATION AND ARCHITECTURE,2,2,What is Booth’s algorithm used for?,Binary division,Binary multiplication,Logical operations,Floating-point conversion,Binary multiplication,IT-2
IT,COMPUTER ORGANIZATION AND ARCHITECTURE,2,2,In floating-point representation what does the term 'mantissa' refer to?,The base of the number,The exponent,The significant digits of the number,The sign bit,The significant digits of the number,IT-2
IT,COMPUTER ORGANIZATION AND ARCHITECTURE,2,2,Which of the following adders is most efficient for large binary numbers?,Ripple Carry Adder,Half Adder,Carry-Lookahead Adder,Full Adder,Carry-Lookahead Adder,IT-2
IT,COMPUTER ORGANIZATION AND ARCHITECTURE,2,3,In pipelining which hazard occurs when two instructions try to use the same resource?,Data hazard,Structural hazard,Control hazard,Procedural hazard,Structural hazard,IT-2
IT,COMPUTER ORGANIZATION AND ARCHITECTURE,2,3,What is the main advantage of a microprogrammed control unit?,Faster execution of instructions,Easier modification of control logic,Reduced cost of implementation,Simplified CPU design,Easier modification of control logic,IT-2
IT,COMPUTER ORGANIZATION AND ARCHITECTURE,2,3,Which instruction format contains only the opcode and the operand?,Zero Address,One Address,Two Address,Three Address,One Address,IT-2
IT,COMPUTER ORGANIZATION AND ARCHITECTURE,2,4,What is the function of cache memory?,To permanently store programs,To provide high-speed storage for frequently accessed data,To serve as the primary memory,To backup data,To provide high-speed storage for frequently accessed data,IT-2
IT,COMPUTER ORGANIZATION AND ARCHITECTURE,2,4,In which cache mapping technique does each block map to a single cache line?,Direct Mapping,Associative Mapping,Set-Associative Mapping,Random Mapping,Direct Mapping,IT-2
IT,COMPUTER ORGANIZATION AND ARCHITECTURE,2,4,What happens during a 'page fault'?,A page is retrieved from cache,A requested page is not in main memory,A page is deleted from memory,A page exceeds its memory limit,A requested page is not in main memory,IT-2
IT,COMPUTER ORGANIZATION AND ARCHITECTURE,2,5,Which mode of data transfer allows the CPU to perform other tasks while data transfer is handled?,Programmed I/O,Interrupt-Driven I/O,Direct Memory Access,Memory-Mapped I/O,Interrupt-Driven I/O,IT-2
IT,COMPUTER ORGANIZATION AND ARCHITECTURE,2,5,What is the primary purpose of Direct Memory Access (DMA)?,To increase CPU workload,To allow devices to access memory directly,To enhance cache performance,To manage I/O interrupts,To allow devices to access memory directly,IT-2
IT,COMPUTER ORGANIZATION AND ARCHITECTURE,2,5,What type of I/O technique uses polling?,Programmed I/O,Interrupt-Driven I/O,DMA,Memory-Mapped I/O,Programmed I/O,IT-2
CSE,DISCRETE STRUCTURES & THEORY OF LOGIC,2,1,What does the term 'POSET' stand for?,Power Set,Partially Ordered Set,Partially Open Set,Positional Set,Partially Ordered Set,CSE-2
CSE,DISCRETE STRUCTURES & THEORY OF LOGIC,2,1,In a lattice which element is referred to as the 'greatest lower bound'?,Supremum,Infimum,Maximum,Minimum,Infimum,CSE-2
CSE,DISCRETE STRUCTURES & THEORY OF LOGIC,2,1,What property must a relation satisfy to be an equivalence relation?,"Reflexive, Transitive, and Antisymmetric","Reflexive, Symmetric, and Transitive","Symmetric, Antisymmetric, and Reflexive",Reflexive and Transitive,"Reflexive, Symmetric, and Transitive",CSE-2
CSE,DISCRETE STRUCTURES & THEORY OF LOGIC,2,2,Which Boolean algebra theorem is represented as A + AB = A?,Absorption Law,De Morgan's Law,Associative Law,Idempotent Law,Absorption Law,CSE-2
CSE,DISCRETE STRUCTURES & THEORY OF LOGIC,2,2,How many variables are needed for a Karnaugh map with 16 cells?,2,3,4,5,4,CSE-2
CSE,DISCRETE STRUCTURES & THEORY OF LOGIC,2,2,What is the growth rate of the function f(n) = n^2 + 3n + 2?,O(n),O(n^2),O(n^3),O(log n),O(n^2),CSE-2
CSE,DISCRETE STRUCTURES & THEORY OF LOGIC,2,3,In propositional logic what is the result of A ∧ ¬A?,TRUE,FALSE,A,Undefined,FALSE,CSE-2
CSE,DISCRETE STRUCTURES & THEORY OF LOGIC,2,3,What does the term 'predicate' represent in predicate logic?,A statement with no variables,A function that maps variables to truth values,A tautology,A contradiction,A function that maps variables to truth values,CSE-2
CSE,DISCRETE STRUCTURES & THEORY OF LOGIC,2,3,Which quantifier represents 'there exists'?,∀,∃,¬,∨,∃,CSE-2
CSE,DISCRETE STRUCTURES & THEORY OF LOGIC,2,4,What is the degree of a vertex in a graph?,The number of edges connected to it,The number of loops on it,The weight of its edges,The distance to the nearest vertex,The number of edges connected to it,CSE-2
CSE,DISCRETE STRUCTURES & THEORY OF LOGIC,2,4,Which graph is both bipartite and complete?,Multigraph,Cycle Graph,"K_m,n",Tree,"K_m,n",CSE-2
CSE,DISCRETE STRUCTURES & THEORY OF LOGIC,2,4,How many edges are in a complete graph with n vertices?,n,n(n-1)/2,n^2,n-1,n(n-1)/2,CSE-2
CSE,DISCRETE STRUCTURES & THEORY OF LOGIC,2,5,If 5 coins are tossed how many possible outcomes are there?,10,16,32,64,32,CSE-2
CSE,DISCRETE STRUCTURES & THEORY OF LOGIC,2,5,What does the pigeonhole principle imply?,At least one container must remain empty,At least one container must hold more than one item,All containers must hold the same number of items,Containers and items must be equal,At least one container must hold more than one item,CSE-2
